AAPL,AMZN,GOOGL,JPM,KO,META,MSFT,NVDA
146.6357879638672,176.25750732421875,147.45924377441406,148.7928924560547,49.5127067565918,338.2357482910156,324.46893310546875,30.32589340209961
146.6455535888672,177.28399658203125,147.23507690429688,148.52532958984375,49.521461486816406,344.8537902832031,323.8426513671875,29.96165657043457
147.62315368652344,177.03500366210938,146.66384887695312,147.45529174804688,49.171607971191406,340.28961181640625,327.15740966796875,30.1392822265625
150.05751037597656,177.4499969482422,146.8334197998047,146.66165161132812,48.900474548339844,338.11663818359375,327.3794860839844,29.19927406311035
154.33958435058594,184.80299377441406,148.61021423339844,145.3953857421875,48.463157653808594,336.0528259277344,329.4551086425781,31.608179092407227
156.9596405029297,183.82850646972656,147.70570373535156,143.4960174560547,48.21826171875,342.6113586425781,331.23138427734375,32.91542053222656
157.41915893554688,178.6284942626953,145.10272216796875,146.5546417236328,48.51563262939453,338.3547668457031,328.0648498535156,31.88858413696289
157.8004150390625,179.0019989013672,144.5869903564453,150.05909729003906,48.874229431152344,334.6240539550781,325.98931884765625,31.679027557373047
158.31854248046875,179.02049255371094,144.9221954345703,148.88201904296875,48.480648040771484,338.4043884277344,326.2113952636719,32.605072021484375
153.3032684326172,175.22799682617188,141.01751708984375,144.3966522216797,46.9937744140625,330.5262451171875,318.2663269042969,31.436540603637695
156.65658569335938,178.07850646972656,144.3375701904297,143.77247619628906,47.737220764160156,335.3979797363281,324.9757080078125,33.30558776855469
161.60340881347656,175.35350036621094,140.7343292236328,141.63232421875,46.230003356933594,321.9336242675781,319.1448059082031,32.6070671081543
161.08526611328125,172.18600463867188,139.89527893066406,140.79412841796875,46.097782135009766,308.1816101074219,318.6524963378906,31.37252426147461
160.09786987304688,171.8679962158203,141.79408264160156,143.754638671875,46.77647399902344,307.9731750488281,318.0829162597656,32.06216049194336
158.2207489013672,169.489501953125,140.8374481201172,141.1508026123047,47.190738677978516,304.4507751464844,311.8272399902344,30.63200569152832
161.62294006347656,171.36849975585938,141.98153686523438,142.81832885742188,48.398277282714844,315.39495849609375,314.8971862792969,29.977304458618164
167.3519287109375,176.1645050048828,146.06231689453125,144.96737670898438,48.662696838378906,320.2964782714844,323.32489013671875,32.362548828125
171.16468811035156,176.1580047607422,146.97177124023438,143.3087921142578,48.47760009765625,327.98614501953125,323.37322998046875,31.76274871826172
170.6563262939453,174.17100524902344,146.4282989501953,143.08587646484375,48.35420227050781,327.251953125,321.56787109375,30.429410934448242
175.43699645996094,172.21200561523438,146.78826904296875,142.51513671875,49.60580062866211,327.1824645996094,330.68109130859375,30.137985229492188
171.8099822998047,169.5675048828125,144.63111877441406,140.8208465576172,50.910301208496094,331.8855285644531,327.6497802734375,28.10503578186035
170.4314422607422,169.0915069580078,142.72735595703125,141.89984130859375,50.94554901123047,331.141357421875,316.97271728515625,28.280685424804688
