method,n,k,p,mean_P_optimal,std_P_optimal,mean_P_feasible,mean_P_near_optimal_5pct,mean_normalized_gap,num_instances
QWOA weighted Johnson cost alpha=0.5,6,4,3,0.39946181924176594,0.087363364230859,1.0,0.6147802336641539,0.07099027920205474,4
QWOA weighted Johnson cost alpha=0.5,6,3,3,0.3981983641278326,0.09944705103694357,1.0,0.6168802163662175,0.054520299323717325,4
QWOA weighted Johnson cost alpha=1.0,6,4,3,0.39578507554508463,0.07172735045605544,1.0,0.6349531317509305,0.0628038284695839,4
QWOA Johnson,6,4,3,0.39475880799083735,0.08911514164965557,1.0,0.5873459444583904,0.0740299761693624,4
QWOA weighted Johnson cost alpha=0.25,6,4,3,0.393710158489556,0.09187474099569977,1.0,0.5961558340239607,0.0727422363027989,4
QWOA Johnson,6,3,3,0.38907696726914326,0.10313342822836856,1.0,0.5966260328895027,0.06174374809757431,4
QWOA weighted Johnson cost alpha=1.0,6,3,3,0.3772422618820014,0.11688777431475539,1.0,0.5935262754545988,0.070632220986835,4
QWOA weighted Johnson cost alpha=2.0,6,4,3,0.3675257209669033,0.07154731685686015,1.0,0.5731381412459206,0.09878881580304671,4
QWOA complete / Grover-equivalent,6,4,3,0.30605755360259523,0.04815407927768218,1.0,0.4892334482971118,0.10491488456097667,4
QWOA complete / Grover-equivalent,6,3,3,0.27428773041961574,0.04281571439104521,1.0,0.45084473091492466,0.11144005902944437,4
QWOA weighted Johnson cost alpha=2.0,6,3,3,0.2276074007298829,0.14231681998972198,1.0,0.40248905815991404,0.2145192923196717,4
QWOA weighted Johnson cost alpha=2.0,6,2,3,0.21893191562331757,0.10729775015982851,1.0,0.21893191562331757,0.3094880705766185,4
Penalty QAOA transverse mixer,6,3,3,0.17275485948004898,0.026593459009774254,0.5477784884085947,0.2796560049037538,0.1295559278330991,4
Penalty QAOA transverse mixer,6,4,3,0.14222862329234587,0.037371970241948924,0.5519874950736243,0.23557177783344535,0.18806222563993047,4
QWOA Johnson,7,3,1,0.3020683250321986,0.10692237429404336,1.0,0.39084762557157837,0.12861487085442502,4
QWOA weighted Johnson cost alpha=0.25,7,3,1,0.2945716785273497,0.09697096948505256,1.0,0.38392680461198875,0.12819018103138463,4
QWOA weighted Johnson cost alpha=0.5,7,3,1,0.26860911476447713,0.08182405797082473,1.0,0.3545193350132329,0.1377647421377209,4
QWOA weighted Johnson cost alpha=0.25,7,4,1,0.25518910028299974,0.05493127560403285,1.0,0.48283539182905655,0.10470097360327713,4
QWOA Johnson,7,4,1,0.25245758784005873,0.05922862717949366,1.0,0.47182458125275717,0.11083845000545181,4
QWOA weighted Johnson cost alpha=0.5,7,4,1,0.24696040500207386,0.05050636101412344,1.0,0.47703806673555404,0.10559762846582127,4
QWOA weighted Johnson cost alpha=1.0,7,4,1,0.2059581274970734,0.04423547451615749,1.0,0.4261095118872149,0.1273601400028804,4
QWOA weighted Johnson cost alpha=1.0,7,3,1,0.18881391495881966,0.041972945743151635,1.0,0.26063679765132075,0.18224020422266943,4
QWOA weighted Johnson cost alpha=2.0,7,4,1,0.13024291173775304,0.020840194562142655,1.0,0.30799556151189017,0.2191619615731087,4
QWOA complete / Grover-equivalent,7,3,1,0.09876600189726518,0.011569047880839442,1.0,0.14204125505092763,0.27488597726900266,4
QWOA complete / Grover-equivalent,7,4,1,0.09365694478975012,0.007794896163778077,1.0,0.19854148146700845,0.2486247834230867,4
QWOA weighted Johnson cost alpha=2.0,7,3,1,0.08012828207497587,0.022921523989644105,1.0,0.12403161020437414,0.2948694904174939,4
QWOA weighted Johnson cost alpha=0.25,7,3,2,0.4230038239739135,0.14532810903753698,1.0,0.5209717498283568,0.07783095995624152,4
QWOA Johnson,7,3,2,0.4177697075373595,0.13808328449912188,1.0,0.5195611270822192,0.0766052550937959,4
QWOA weighted Johnson cost alpha=0.5,7,3,2,0.4043532333728289,0.14232495055144603,1.0,0.4985534503469611,0.08334139589826231,4
QWOA weighted Johnson cost alpha=1.0,7,3,2,0.34207814480243187,0.12226425354867447,1.0,0.4428688227545966,0.11692332305019712,4
QWOA Johnson,7,4,2,0.3216944241185393,0.08608144547458213,1.0,0.5787549298984878,0.06739521327089197,4
