instance,window_id,start,end,n,k,method,alpha,graph_edges,graph_mean_degree,graph_min_degree,graph_max_degree,graph_spectral_gap_top
20,W3,2022-08-24,2023-11-20,6,2,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.26005742149946776
21,W3,2022-08-24,2023-11-20,6,3,QWOA complete / Grover-equivalent,,190,19.0,19.0,19.0,1.052631578947368
21,W3,2022-08-24,2023-11-20,6,3,QWOA Johnson,,90,9.0,9.0,9.0,0.6666666666666667
21,W3,2022-08-24,2023-11-20,6,3,QWOA weighted Johnson cost alpha=0.25,0.25,90,9.0,9.0,9.0,0.6028524327133205
21,W3,2022-08-24,2023-11-20,6,3,QWOA weighted Johnson cost alpha=0.5,0.5,90,9.0,9.0,9.0,0.5449059645312466
21,W3,2022-08-24,2023-11-20,6,3,QWOA weighted Johnson cost alpha=1.0,1.0,90,9.0,9.0,9.0,0.45743202672480265
21,W3,2022-08-24,2023-11-20,6,3,QWOA weighted Johnson cost alpha=2.0,2.0,90,9.0,9.0,9.0,0.38591616542497764
22,W3,2022-08-24,2023-11-20,6,4,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
22,W3,2022-08-24,2023-11-20,6,4,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
22,W3,2022-08-24,2023-11-20,6,4,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6755710340095508
22,W3,2022-08-24,2023-11-20,6,4,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.603959033943294
22,W3,2022-08-24,2023-11-20,6,4,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.4765109675923761
22,W3,2022-08-24,2023-11-20,6,4,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.3422557184850019
23,W3,2022-08-24,2023-11-20,7,3,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
23,W3,2022-08-24,2023-11-20,7,3,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
23,W3,2022-08-24,2023-11-20,7,3,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.5314662177432952
23,W3,2022-08-24,2023-11-20,7,3,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.48479910825289907
23,W3,2022-08-24,2023-11-20,7,3,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.4068480102426719
23,W3,2022-08-24,2023-11-20,7,3,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.29573216748698394
24,W3,2022-08-24,2023-11-20,7,4,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
24,W3,2022-08-24,2023-11-20,7,4,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
24,W3,2022-08-24,2023-11-20,7,4,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.5229768999238211
24,W3,2022-08-24,2023-11-20,7,4,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.47001614226302635
24,W3,2022-08-24,2023-11-20,7,4,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.38581585453976963
24,W3,2022-08-24,2023-11-20,7,4,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.28782056384100985
25,W3,2022-08-24,2023-11-20,8,3,QWOA complete / Grover-equivalent,,1540,55.0,55.0,55.0,1.018181818181817
25,W3,2022-08-24,2023-11-20,8,3,QWOA Johnson,,420,15.0,15.0,15.0,0.5333333333333323
25,W3,2022-08-24,2023-11-20,8,3,QWOA weighted Johnson cost alpha=0.25,0.25,420,15.0,15.0,15.0,0.4606731752828618
25,W3,2022-08-24,2023-11-20,8,3,QWOA weighted Johnson cost alpha=0.5,0.5,420,15.0,15.0,15.0,0.3972491420968075
25,W3,2022-08-24,2023-11-20,8,3,QWOA weighted Johnson cost alpha=1.0,1.0,420,15.0,15.0,15.0,0.2971134037475467
25,W3,2022-08-24,2023-11-20,8,3,QWOA weighted Johnson cost alpha=2.0,2.0,420,15.0,15.0,15.0,0.1820418256103027
26,W3,2022-08-24,2023-11-20,8,4,QWOA complete / Grover-equivalent,,2415,69.0,69.0,69.0,1.0144927536231871
26,W3,2022-08-24,2023-11-20,8,4,QWOA Johnson,,560,16.0,16.0,16.0,0.49999999999999956
26,W3,2022-08-24,2023-11-20,8,4,QWOA weighted Johnson cost alpha=0.25,0.25,560,16.0,16.0,16.0,0.4476309590954196
26,W3,2022-08-24,2023-11-20,8,4,QWOA weighted Johnson cost alpha=0.5,0.5,560,16.0,16.0,16.0,0.4012073003413461
26,W3,2022-08-24,2023-11-20,8,4,QWOA weighted Johnson cost alpha=1.0,1.0,560,16.0,16.0,16.0,0.32407228728695436
26,W3,2022-08-24,2023-11-20,8,4,QWOA weighted Johnson cost alpha=2.0,2.0,560,16.0,16.0,16.0,0.2117436658879719
27,W4,2021-05-27,2022-08-23,5,2,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
27,W4,2021-05-27,2022-08-23,5,2,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333328
27,W4,2021-05-27,2022-08-23,5,2,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.7782437823026979
27,W4,2021-05-27,2022-08-23,5,2,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.7172107961887675
27,W4,2021-05-27,2022-08-23,5,2,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.5912968164993939
27,W4,2021-05-27,2022-08-23,5,2,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.487638135064957
28,W4,2021-05-27,2022-08-23,5,3,QWOA complete / Grover-equivalent,,45,9.0,9.0,9.0,1.111111111111111
28,W4,2021-05-27,2022-08-23,5,3,QWOA Johnson,,30,6.0,6.0,6.0,0.8333333333333331
28,W4,2021-05-27,2022-08-23,5,3,QWOA weighted Johnson cost alpha=0.25,0.25,30,6.0,6.0,6.0,0.7606222964269552
28,W4,2021-05-27,2022-08-23,5,3,QWOA weighted Johnson cost alpha=0.5,0.5,30,6.0,6.0,6.0,0.6905326623492571
28,W4,2021-05-27,2022-08-23,5,3,QWOA weighted Johnson cost alpha=1.0,1.0,30,6.0,6.0,6.0,0.5578409375585749
28,W4,2021-05-27,2022-08-23,5,3,QWOA weighted Johnson cost alpha=2.0,2.0,30,6.0,6.0,6.0,0.3668343116716115
29,W4,2021-05-27,2022-08-23,6,2,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
29,W4,2021-05-27,2022-08-23,6,2,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
29,W4,2021-05-27,2022-08-23,6,2,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6538985975415901
29,W4,2021-05-27,2022-08-23,6,2,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5759474535967715
29,W4,2021-05-27,2022-08-23,6,2,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.47525983798876215
29,W4,2021-05-27,2022-08-23,6,2,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.43694548187532833
30,W4,2021-05-27,2022-08-23,6,3,QWOA complete / Grover-equivalent,,190,19.0,19.0,19.0,1.052631578947368
30,W4,2021-05-27,2022-08-23,6,3,QWOA Johnson,,90,9.0,9.0,9.0,0.6666666666666667
30,W4,2021-05-27,2022-08-23,6,3,QWOA weighted Johnson cost alpha=0.25,0.25,90,9.0,9.0,9.0,0.5683935153906923
30,W4,2021-05-27,2022-08-23,6,3,QWOA weighted Johnson cost alpha=0.5,0.5,90,9.0,9.0,9.0,0.482289806292447
30,W4,2021-05-27,2022-08-23,6,3,QWOA weighted Johnson cost alpha=1.0,1.0,90,9.0,9.0,9.0,0.34526630830252414
30,W4,2021-05-27,2022-08-23,6,3,QWOA weighted Johnson cost alpha=2.0,2.0,90,9.0,9.0,9.0,0.1868900777793786
31,W4,2021-05-27,2022-08-23,6,4,QWOA complete / Grover-equivalent,,105,14.0,14.0,14.0,1.0714285714285712
31,W4,2021-05-27,2022-08-23,6,4,QWOA Johnson,,60,8.0,8.0,8.0,0.7499999999999998
31,W4,2021-05-27,2022-08-23,6,4,QWOA weighted Johnson cost alpha=0.25,0.25,60,8.0,8.0,8.0,0.6496288313104295
31,W4,2021-05-27,2022-08-23,6,4,QWOA weighted Johnson cost alpha=0.5,0.5,60,8.0,8.0,8.0,0.5627194870112986
31,W4,2021-05-27,2022-08-23,6,4,QWOA weighted Johnson cost alpha=1.0,1.0,60,8.0,8.0,8.0,0.4259418596751914
31,W4,2021-05-27,2022-08-23,6,4,QWOA weighted Johnson cost alpha=2.0,2.0,60,8.0,8.0,8.0,0.2629328774169172
32,W4,2021-05-27,2022-08-23,7,3,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
32,W4,2021-05-27,2022-08-23,7,3,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
32,W4,2021-05-27,2022-08-23,7,3,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.4896422844785181
32,W4,2021-05-27,2022-08-23,7,3,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.4116064857869357
32,W4,2021-05-27,2022-08-23,7,3,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.29991498955968665
32,W4,2021-05-27,2022-08-23,7,3,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.20586501946854752
33,W4,2021-05-27,2022-08-23,7,4,QWOA complete / Grover-equivalent,,595,34.0,34.0,34.0,1.029411764705882
33,W4,2021-05-27,2022-08-23,7,4,QWOA Johnson,,210,12.0,12.0,12.0,0.5833333333333335
33,W4,2021-05-27,2022-08-23,7,4,QWOA weighted Johnson cost alpha=0.25,0.25,210,12.0,12.0,12.0,0.4883242858430106
33,W4,2021-05-27,2022-08-23,7,4,QWOA weighted Johnson cost alpha=0.5,0.5,210,12.0,12.0,12.0,0.40671886124265066
33,W4,2021-05-27,2022-08-23,7,4,QWOA weighted Johnson cost alpha=1.0,1.0,210,12.0,12.0,12.0,0.27966392007106555
33,W4,2021-05-27,2022-08-23,7,4,QWOA weighted Johnson cost alpha=2.0,2.0,210,12.0,12.0,12.0,0.13154470934975027
34,W4,2021-05-27,2022-08-23,8,3,QWOA complete / Grover-equivalent,,1540,55.0,55.0,55.0,1.018181818181817
34,W4,2021-05-27,2022-08-23,8,3,QWOA Johnson,,420,15.0,15.0,15.0,0.5333333333333323
